#Ignore	\o042						
#Exchange	#	\x20					
							



#Table	Tab00						
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0	Card_Hat_Academy04_1	Card_Hat_BatWing01	Card_Hat_BrownFox01_1	Card_Hat_ChefPokey01_1	Card_Hat_Crown05_1	Card_Hat_DevilUnicorn01_1
#Record	1	Card_Hat_Antenna01_1	Card_Hat_BatWing03_1	Card_Hat_BunnyBun01	Card_Hat_Chipao01	Card_Hat_CupChoco00	Card_Hat_DHorn02
#Record	2	Card_Hat_Bandana01_1	Card_Hat_Beagle01	Card_Hat_CandyMeow_B7	Card_Hat_CLion02	Card_Hat_CupStrawberry00	Card_Hat_Doctor_1
#Record	3	Card_Hat_Bandana02_1	Card_Hat_Bells01	Card_Hat_CandyMeow_R7	Card_Hat_Cone01	Card_Hat_CupVanilla00	Card_Hat_DogEar04_1
#Record	4	Card_Hat_Bandana03_1	Card_Hat_Boader01_1	Card_Hat_Catear02	Card_Hat_Cow01	Card_Hat_Cyber_7	Card_Hat_Dragon04
#Record	5	Card_Hat_Bat01	Card_Hat_Bomb03	Card_Hat_Ceremony01_1	Card_Hat_CRoundHat02	Card_Hat_DaemawangHorn05	Card_Hat_Dreian01_1
#Record	6	Card_Hat_EasterBunny02_1	Card_Hat_BRoundHat02	Card_Hat_CHair01	Card_Hat_Crown04_1	Card_Hat_DemonH03_1	Card_Hat_EasterBunny01_1
#Record	7	Card_Hat_EgyptFox_1	Card_Hat_Fez_1	Card_Hat_Foxear05	Card_Hat_HallGhost02	Card_Hat_Harvest01_1	Card_Hat_Indian01
#Record	8	Card_Hat_EgyptWolf_1	Card_Hat_FiestaCap01_1	Card_Hat_FrogPrince00_1	Card_Hat_HallKaby02	Card_Hat_Headphone05_1	Card_Hat_Jester01
#Record	9	Card_Hat_Elvama01_1	Card_Hat_FiestaParty01_1	Card_Hat_Fungal01	Card_Hat_Halloween_2010_01	Card_Hat_Healer00_1	Card_Hat_Jewel01
#Record	10	Card_Hat_Faun01_1	Card_Hat_Fight01_1	Card_Hat_GloryUnicorn01_1	Card_Hat_HallPumpkin02	Card_Hat_HSnowman01	Card_Hat_Karls01_1
#Record	11	Card_Hat_Fclover00	Card_Hat_FlameRock_1	Card_Hat_Grampus01	Card_Hat_HallWitch02	Card_Hat_IcecreamC00	Card_Hat_Kenton01_1
#Record	12	Card_Hat_Fedora01	Card_Hat_Football01_1	Card_Hat_GreenAfro00	Card_Hat_Hamster01_1	Card_Hat_IcecreamS00	Card_Hat_Koala01_1
#Record	13	Card_Hat_Laurel01_1	Card_Hat_FoxEar01	Card_Hat_GRoundHat02	Card_Hat_Harmony01_1	Card_Hat_IcecreamV00	Card_Hat_Kyle01_1
#Record	14	Card_Hat_Liberty00	Card_Hat_Magician01_1	Card_Hat_Monster01_1	Card_Hat_Panda01	Card_Hat_Pirate03_2	Card_Hat_Raina01_1
#Record	15	Card_Hat_Lion01_1	Card_Hat_Mara03	Card_Hat_Mouse02_1	Card_Hat_Penguin01	Card_Hat_PolarBear01_1	Card_Hat_Ram01_1
#Record	16	Card_Hat_LittleCow01	Card_Hat_Marine01_1	Card_Hat_Musketeer_1	Card_Hat_PerfectAim01_1	Card_Hat_Professor01_1	Card_Hat_RedPanda01_1
#Record	17	Card_Hat_LovelyRibbon05_1	Card_Hat_Marine02_7	Card_Hat_Ninja02	Card_Hat_phoenix06	Card_Hat_PRoundHat02	Card_Hat_Reed05
#Record	18	Card_Hat_LoveWitch_7	Card_Hat_Mighty04_1	Card_Hat_Nurse04	Card_Hat_Pilgrim01	Card_Hat_PumpkinKitty01	Card_Hat_Reindeer01_1
