#Ignore	\o042						
#Exchange	#	\x20					
							
#Table	Tab00						
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0 	Coll 	WhiteColl 	BlackColl 	Hobby 	WhiteHobby 	BlackHobby
#Record	1 	Gigl 	Unicorn00 	M_SnowSlime01 	DeerSled01 	DeerSledSD01 	PhilipPig01
#Record	2 	Copper01 	Galleon01 	Sheep01 	Frog01 	Panda01 	Fox01
#Record	3 	Goat01 	M_Sabertooth01 	M_Griffin01 	M_WitchBroom01 	M_Reindeer01 	M_IceBear01
#Record	4 	M_Mammoth01 	M_Draotter01 	M_Ottergon01 	M_KeenKirin01 	M_Gondola01 	M_Fenrir01
#Record	5 	M_Turtle01 	M_ShadowFox01 	M_Leopard01 	DragonHorse03_5 	DragonHorse03_6 	M_KillerBee01
#Record	6 	M_PhantomKirin00 	M_Steam01 	M_LightStag01 	M_Sidecar01 	M_HoverBoard01 	M_HoverBoard02
#Record	7 	M_HoverBoard03 	M_HoverBoard04 	M_HoverBoard05 	M_Penguin01 	M_SnowBoard01 	M_SnowBoard02
#Record	8 	M_SnowBoard03 	M_SnowBoard04 	M_SnowBoard05 	M_TandemBike01 	M_Triceratops01 	M_EasterChicken01
#Record	9 	M_ShadowDragon01_1 	M_BHamster01 	M_MossStag01 	M_SteamWalker01 	M_EmberStag01 	M_BuggyCar01
#Record	10 	M_Spider01 	M_ArchonRed01 	M_SnowBall01 	M_IceDeer01 	M_Goral 	M_MajesticLion
#Record	11 	Fox01_P 	Panda01_P 	M_Snail 	M_TurtleSea 	M_Chinchilla 	M_HoppingDuck_1
#Record	12 	M_Crane_1 	M_CatBlack_1 	M_BikeDeath_1 	M_CyberHorse_1 	M_Xmas14_Train_1 	M_HeartMouse_1
#Record	13 	M_Alpaca_1 	M_Bunny_1 	M_WeddingCar_1 	RedColl01_0 	Gigl01_0 	Racoon01_0
#Record	14 	ZebraColl01_1 	TigerColl01_1 	RedColl01_1 	GoldColl01_1 	ThoroColl01_1 	FireColl01_1
#Record	15 	WoodenHorse01_1 	DragonHorse01_1 	Racoon01_1 	Pegasus01 	Amor01 	WoodenHorse02
#Record	16 	WoodenHorse03 	WoodenHorse04 	DragonHorse02 	DragonHorse03 	DragonHorse04 	Racoon02
#Record	17 	Racoon03 	Racoon04 	Dogsled01_1 	DragonHorse02_4 	DragonHorse03_4 	Pegasus01_4
#Record	18 	BPegasus01_2 	Liberty00 	Gigl01_3 	Racoon03_4 	Racoon04_5 	SantaMaria00
#Record	19 	Turkey00 	HPegasus01 	Dogsled01_3 	Dog01 	Cat01 	Monkey00_1
#Record	20 	Monkey01_1 	Dog_Black00 	Otter00 	Scorpion00 	Tiger00 	OktoCarriage00
#Record	21 	M_GB_Slot01 	M_KingCrab01 	M_DHorse 	Claude 	M_IceCar_1 	E_M_SnowBall_15
#Record	22 	E_M_Penguin_15 	M_HalloweenCar_1 	- 	- 	- 	-
#end							
