#Ignore	\o042						
#Exchange	#	\x20					
							
#Table	Tab00						
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#ColumnName	Rec	Column00	Column01	Column02	Column03	Column04	Column05
#Record	0 	FloraSword01 	FloraTSword01 	FloraAxe01 	FloraMace01 	FloraHammer01 	FloraBow01
#Record	1 	FloraCBow01 	FloraStaff01 	FloraWand01 	FloraClaw01 	FloraDSword01 	ButterflySword04
#Record	2 	ButterflyTwoHandSword04 	ButterflyAxe04 	ButterflyMace04 	ButterflyHammer04 	ButterflyBow04 	ButterflyCrossBow04
#Record	3 	ButterflyStaff04 	ButterflyWand04 	ButterflyClaw04 	ButterflyDoubleSword04 	HunterOneHandSword01_2 	HunterTwoHandSword01_2
#Record	4 	HunterAxe01_2 	HunterMace01_2 	HunterHammer01_2 	HunterBow01_2 	HunterCrossBow01_2 	HunterStaff01_2
#Record	5 	HunterWand01_2 	HunterClaw01_2 	HunterDoubleSword01_2 	PierrotSword00 	PierrotTSword00 	PierrotAxe00
#Record	6 	PierrotMace00 	PierrotHammer00 	PierrotBow00 	PierrotCBow00 	PierrotStaff00 	PierrotWand00_1
#Record	7 	PierrotClaw00 	PierrotDSword00 	KDSoccer_HinaSword 	KDSoccer_HinaBastard 	KDSoccer_HinaAxe 	KDSoccer_HinaMace
#Record	8 	KDSoccer_HinaHammer 	KDSoccer_HinaBow 	KDSoccer_HinaCBow 	KDSoccer_HinaStaff 	KDSoccer_HinaWand 	KDSoccer_HinaClaw
#Record	9 	KDSoccer_HinaDsword 	E_Hwin_JackO_Sword 	E_Hwin_JackO_Tsword 	E_Hwin_JackO_Axe 	E_Hwin_JackO_Mace 	E_Hwin_JackO_Hammer
#Record	10 	E_Hwin_JackO_Bow 	E_Hwin_JackO_Cbow 	E_Hwin_JackO_Staff 	E_Hwin_JackO_Wand 	E_Hwin_JackO_Claw 	E_Hwin_JackO_Dsword
#Record	11 	E_XAxe05_14 	E_XBastard05_14 	E_Xblade_14 	E_XBow05_14 	E_XCBow05_14 	E_XHammer05_14
#Record	12 	E_XMace05_14 	E_XSteff05_14 	E_XSword05_14 	E_XWand05_14 	E_XClaw01_14 	E_XDSword01_14
#Record	13 	HunterBlade00 	FloraBlade00 	PierrotBlade00 	Hall_Blade00 	JackO_Blade00 	FloraBlade00_4
#Record	14 	E_XBlade 	KDSoccer_HinaBlade 	X_FShield 	X_CShield 	Wlov_FShield 	Wlov_CShield
#Record	15 	Kasa_FShield 	Fury_CShield 	Hina_FShield 	Hina_CShield 	Kai_FShield 	Kai_CShield
#Record	16 	Flower_FShield 	Flower_CShield 	Hall_FShield 	Hall_CShield 	Lov_FShield 	Lov_CShield
#Record	17 	JackO_FShield 	JackO_CShield 	Hina_FShield_1 	Hina_CShield_1 	E_Constellation_FShield 	E_Constellation_CShield
#end							
