#Ignore	\o042																																																																																																																																																																																																																																																																																																		
#Exchange	#	\x20																																																																																																																																																																																																																																																																																																	
																																																																																																																																																																																																																																																																																																			
																																																																																																																																																																																																																																																																																																			
#Table	ItemGroup																																																																																																																																																																																																																																																																																																		
#ColumnType	String[33]	String[33]	Word	Word	BYTE	DWord	DWord	Dword	Index	Dword	Index	Dword	Index	Dword	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Dword	BYTE	BYTE	string[1]	Word	Index	Index	Index	Index	Index	DWORD	;
#ColumnName	MapArea	MobId	MinLevel	MaxLevel	AbStateCnt	MinCen	MaxCen	CenRate	TradeBoxA	RateA	TradeBoxB	RateB	TradeBoxC	RateC	DrItem1	DrItem1R	UpGradeMin01	UpGradeMax01	Rule1	Num1	DrItem2	DrItem2R	UpGradeMin02	UpGradeMax02	Rule2	Num2	DrItem3	DrItem3R	UpGradeMin03	UpGradeMax03	Rule3	Num3	DrItem4	DrItem4R	UpGradeMin04	UpGradeMax04	Rule4	Num4	DrItem5	DrItem5R	UpGradeMin05	UpGradeMax05	Rule5	Num5	DrItem6	DrItem6R	UpGradeMin06	UpGradeMax06	Rule6	Num6	DrItem7	DrItem7R	UpGradeMin07	UpGradeMax07	Rule7	Num7	DrItem8	DrItem8R	UpGradeMin08	UpGradeMax08	Rule8	Num8	DrItem9	DrItem9R	UpGradeMin09	UpGradeMax09	Rule9	Num9	DrItem10	DrItem10R	UpGradeMin10	UpGradeMax10	Rule10	Num10	DrItem11	DrItem11R	UpGradeMin11	UpGradeMax11	Rule11	Num11	DrItem12	DrItem12R	UpGradeMin12	UpGradeMax12	Rule12	Num12	DrItem13	DrItem13R	UpGradeMin13	UpGradeMax13	Rule13	Num13	DrItem14	DrItem14R	UpGradeMin14	UpGradeMax14	Rule14	Num14	DrItem15	DrItem15R	UpGradeMin15	UpGradeMax15	Rule15	Num15	DrItem16	DrItem16R	UpGradeMin16	UpGradeMax16	Rule16	Num16	DrItem17	DrItem17R	UpGradeMin17	UpGradeMax17	Rule17	Num17	DrItem18	DrItem18R	UpGradeMin18	UpGradeMax18	Rule18	Num18	DrItem19	DrItem19R	UpGradeMin19	UpGradeMax19	Rule19	Num19	DrItem20	DrItem20R	UpGradeMin20	UpGradeMax20	Rule20	Num20	DrItem21	DrItem21R	UpGradeMin21	UpGradeMax21	Rule21	Num21	DrItem22	DrItem22R	UpGradeMin22	UpGradeMax22	Rule22	Num22	DrItem23	DrItem23R	UpGradeMin23	UpGradeMax23	Rule23	Num23	DrItem24	DrItem24R	UpGradeMin24	UpGradeMax24	Rule24	Num24	DrItem25	DrItem25R	UpGradeMin25	UpGradeMax25	Rule25	Num25	DrItem26	DrItem26R	UpGradeMin26	UpGradeMax26	Rule26	Num26	DrItem27	DrItem27R	UpGradeMin27	UpGradeMax27	Rule27	Num27	DrItem28	DrItem28R	UpGradeMin28	UpGradeMax28	Rule28	Num28	DrItem29	DrItem29R	UpGradeMin29	UpGradeMax29	Rule29	Num29	DrItem30	DrItem30R	UpGradeMin30	UpGradeMax30	Rule30	Num30	DrItem31	DrItem31R	UpGradeMin31	UpGradeMax31	Rule31	Num31	DrItem32	DrItem32R	UpGradeMin32	UpGradeMax32	Rule32	Num32	DrItem33	DrItem33R	UpGradeMin33	UpGradeMax33	Rule33	Num33	DrItem34	DrItem34R	UpGradeMin34	UpGradeMax34	Rule34	Num34	DrItem35	DrItem35R	UpGradeMin35	UpGradeMax35	Rule35	Num35	DrItem36	DrItem36R	UpGradeMin36	UpGradeMax36	Rule36	Num36	DrItem37	DrItem37R	UpGradeMin37	UpGradeMax37	Rule37	Num37	DrItem38	DrItem38R	UpGradeMin38	UpGradeMax38	Rule38	Num38	DrItem39	DrItem39R	UpGradeMin39	UpGradeMax39	Rule39	Num39	DrItem40	DrItem40R	UpGradeMin40	UpGradeMax40	Rule40	Num40	DrItem41	DrItem41R	UpGradeMin41	UpGradeMax41	Rule41	Num41	DrItem42	DrItem42R	UpGradeMin42	UpGradeMax42	Rule42	Num42	DrItem43	DrItem43R	UpGradeMin43	UpGradeMax43	Rule43	Num43	DrItem44	DrItem44R	UpGradeMin44	UpGradeMax44	Rule44	Num44	DrItem45	DrItem45R	UpGradeMin45	UpGradeMax45	Rule45	Num45	ExcItem1	ExcItem2	ExcItem3	ExcItem4	ExcItem5	CheckSum	
#Record	-	Slime	1	11	0	0	0	0	-	0	-	0	-	0	Potion01	50000	0	0	r	-1	Potion01	40000	0	0	r	-1	NamedWeapon2	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	0	0	0	r	-1	LowDust	0	0	0	r	-1	LowCarcass	615000	0	0	r	-1	LowCarcass	246000	0	0	r	-1	LowKylin	88548	0	0	r	-1	LowKylin	0	0	0	r	-1	EventItem08	700000	0	0	r	-1	Ring01	80000	0	0	r	-1	NormalLv10	80000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	900	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	SlimeTransD	10000	0	0	r	-1	PetDrop0	0	0	0	r	-1	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	12	
#Record	-	MushRoom	1	12	0	0	0	0	-	0	-	0	-	0	Potion01	49500	0	0	r	-1	Potion01	39500	0	0	r	-1	NamedWeapon2	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	519899	0	0	r	-1	LowDust	346599	0	0	r	-1	LowCarcass	0	0	0	r	-1	LowCarcass	0	0	0	r	-1	LowCleanWater	88334	0	0	r	-1	LowCleanWater	0	0	0	r	-1	LowMagicCrystal	83138	0	0	r	-1	LowMagicCrystal	0	0	0	r	-1	Ring01	80000	0	0	r	-1	NormalLv10	80000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	1200	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	MushRoomTransD	10000	0	0	r	-1	-	0	0	0	-	0	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	13	
#Record	-	Imp	1	14	0	0	0	0	-	0	-	0	-	0	Potion01	48500	0	0	r	-1	Potion01	38500	0	0	r	-1	NamedWeapon2	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	547800	0	0	r	-1	LowDust	547800	0	0	r	-1	LowCarcass	0	0	0	r	-1	LowCarcass	0	0	0	r	-1	LowCleanWater	90347	0	0	r	-1	LowCleanWater	0	0	0	r	-1	LowMagicCrystal	109512	0	0	r	-1	LowMagicCrystal	0	0	0	r	-1	Ring01	80000	0	0	r	-1	NamedRing01	50000	0	0	r	-1	NormalLv10	80000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	1800	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	15	
#Record	-	Crab	1	16	0	0	0	0	-	0	-	0	-	0	Potion01	47500	0	0	r	-1	Potion01	37500	0	0	r	-1	NamedWeapon2	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	0	0	0	r	-1	LowDust	0	0	0	r	-1	LowCarcass	749000	0	0	r	-1	LowCarcass	749000	0	0	r	-1	LowBeast	199728	0	0	r	-1	LowBeast	0	0	0	r	-1	Ring01	80000	0	0	r	-1	NamedRing01	50000	0	0	r	-1	Neck01	1000	0	0	r	-1	NormalLv10	80000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	2400	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	17	
#Record	-	Honeying	1	150	0	0	0	0	-	0	-	0	-	0	Potion01	45500	0	0	r	-1	Potion01	35500	0	0	r	-1	NamedWeapon3	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	1000000	0	0	r	-1	LowDust	1000000	0	0	r	-1	LowCarcass	0	0	0	r	-1	LowCarcass	0	0	0	r	-1	LowCleanWater	172692	0	0	r	-1	LowCleanWater	0	0	0	r	-1	LowMagicCrystal	230256	0	0	r	-1	LowMagicCrystal	0	0	0	r	-1	EventItem08	700000	0	0	r	-1	Honey_7th	300000	0	0	r	-1	Ring01	80000	0	0	r	-1	NamedRing01	50000	0	0	r	-1	Neck01	1000	0	0	r	-1	NamedNeck01	50000	0	0	r	-1	NormalLv10	80000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	3600	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	HoneyingTransD	10000	0	0	r	-1	PetDrop1	0	0	0	r	-1	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	151	
#Record	-	HungryWolf	1	20	0	0	0	0	-	0	-	0	-	0	Potion01	45500	0	0	r	-1	Potion01	35500	0	0	r	-1	NamedWeapon3	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	0	0	0	r	-1	LowDust	0	0	0	r	-1	LowCarcass	1000000	0	0	r	-1	LowCarcass	1000000	0	0	r	-1	LowBeast	307008	0	0	r	-1	LowBeast	230256	0	0	r	-1	Ring01	80000	0	0	r	-1	NamedRing01	50000	0	0	r	-1	Neck01	1000	0	0	r	-1	NamedNeck01	50000	0	0	r	-1	NormalLv10	80000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	3600	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	21	
#Record	-	Phino	1	21	0	0	0	0	-	0	-	0	-	0	Potion01	45000	0	0	r	-1	Potion01	35000	0	0	r	-1	NamedWeapon3	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	1000000	0	0	r	-1	NorDust	62600	0	0	r	-1	LowCarcass	0	0	0	r	-1	NorCarcass	0	0	0	r	-1	LowCleanWater	187798	0	0	r	-1	NorCleanWater	8210	0	0	r	-1	NorMagicCrystal	8346	0	0	r	-1	Ring01	80000	0	0	r	-1	NamedRing01	50000	0	0	r	-1	PhinoRing	5000	0	0	r	-1	Neck01	1000	0	0	r	-1	NamedNeck01	50000	0	0	r	-1	NormalLv10	80000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	3900	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	PhinoTransD	10000	0	0	r	-1	-	0	0	0	-	0	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	22	
#Record	-	PhinoFlie	1	22	0	0	0	0	-	0	-	0	-	0	Potion01	44500	0	0	r	-1	Potion01	34500	0	0	r	-1	NamedWeapon3	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	1000000	0	0	r	-1	NorDust	67629	0	0	r	-1	LowCarcass	0	0	0	r	-1	NorCarcass	0	0	0	r	-1	LowCleanWater	202864	0	0	r	-1	NorCleanWater	8868	0	0	r	-1	LowMagicCrystal	270486	0	0	r	-1	NorMagicCrystal	9016	0	0	r	-1	Ring01	80000	0	0	r	-1	NamedRing01	50000	0	0	r	-1	PhinoFlieRing	5000	0	0	r	-1	Neck01	1000	0	0	r	-1	NamedNeck01	50000	0	0	r	-1	NamedLv20	10000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	4200	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	PhinoFlieTransD	10000	0	0	r	-1	-	0	0	0	-	0	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	23	
#Record	-	Ratman	1	23	0	0	0	0	-	0	-	0	-	0	Potion01	44000	0	0	r	-1	Potion01	34000	0	0	r	-1	NamedWeapon3	50000	0	0	r	-1	NamedArmor2	50000	0	0	r	-1	LowDust	0	0	0	r	-1	NorDust	0	0	0	r	-1	LowCarcass	1000000	0	0	r	-1	NorCarcass	82256	0	0	r	-1	LowKylin	290628	0	0	r	-1	NorKylin	15852	0	0	r	-1	RatmanLicence	10000	0	0	r	-1	Ring01	80000	0	0	r	-1	NamedRing01	50000	0	0	r	-1	Neck01	1000	0	0	r	-1	NamedNeck01	50000	0	0	r	-1	NormalLv10	80000	0	0	r	-1	R_NamedArmor2	1000	0	0	r	-1	CopperLump01	4500	0	0	r	-1	ENC1	50000	0	0	r	-1	StageRecallScroll	10000	0	0	r	-1	ClosedCollectCard	80000	0	0	r	-1	EventItem01	100000	0	0	r	-1	EventItem02	150000	0	0	r	-1	Choco01	100000	0	0	r	-1	EventItem07	20000	0	0	r	-1	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	-	0	0	0	-	0	CS7Day1	15000	0	0	r	-1	CS7Day2	15000	0	0	r	-1	CS7Day3	15000	0	0	r	-1	CS7Day4	15000	0	0	r	-1	CS7Day5	15000	0	0	r	-1	CS7Day6	15000	0	0	r	-1	CS7Day7	15000	0	0	r	-1	CS7Day8	15000	0	0	r	-1	RatmanTransD	10000	0	0	r	-1	-	0	0	0	-	0	SRCandy	3000	0	0	r	-1	HalloweenTrans	0	0	0	r	-1	-	-	-	-	-	24	
